epoch,train_loss,train_acc,val_loss,val_acc,lr_head,lr_backbone
1,1.7074,0.7268,1.0442,0.9136,0.0001,
2,1.046,0.9165,0.9909,0.931,0.0001,
3,0.9506,0.9458,0.9638,0.933,0.0001,
4,0.8971,0.9595,0.9456,0.9415,0.0001,
5,0.8679,0.9673,0.9346,0.9409,0.0001,
6,0.8341,0.9764,0.9322,0.9438,0.0001,1e-05
7,0.824,0.9794,0.9285,0.9542,0.0001,1e-05
8,0.8212,0.98,0.9535,0.9412,0.0001,1e-05
9,0.8131,0.9812,0.9366,0.9441,0.0001,1e-05
10,0.8047,0.9855,0.9323,0.9473,0.0001,1e-05
11,0.8017,0.9844,0.9613,0.9438,0.0001,1e-05
12,0.7764,0.9917,0.923,0.9533,5e-05,5e-06
