=============================================
클래스                정답    전체      정확도
---------------------------------------------
치즈                 29    41    70.7% 🟩🟩🟩⬜⬜
돼지고기               44    51    86.3% 🟩🟩🟩🟩⬜
오징어                26    30    86.7% 🟩🟩🟩🟩⬜
베이컨                23    26    88.5% 🟩🟩🟩🟩⬜
고추장                44    48    91.7% 🟩🟩🟩🟩⬜
고춧가루               55    60    91.7% 🟩🟩🟩🟩⬜
콩나물                44    48    91.7% 🟩🟩🟩🟩⬜
콜라                 24    26    92.3% 🟩🟩🟩🟩⬜
마늘                 50    54    92.6% 🟩🟩🟩🟩⬜
고추                 52    56    92.9% 🟩🟩🟩🟩⬜
사과                 40    43    93.0% 🟩🟩🟩🟩⬜
마요네즈               29    31    93.5% 🟩🟩🟩🟩⬜
파프리카               31    33    93.9% 🟩🟩🟩🟩⬜
감자                 66    70    94.3% 🟩🟩🟩🟩⬜
햄                  53    56    94.6% 🟩🟩🟩🟩⬜
양배추                56    59    94.9% 🟩🟩🟩🟩⬜
쌈장                 20    21    95.2% 🟩🟩🟩🟩⬜
호박                 42    44    95.5% 🟩🟩🟩🟩⬜
버터                 44    46    95.7% 🟩🟩🟩🟩⬜
참깨                 44    46    95.7% 🟩🟩🟩🟩⬜
오이                 47    49    95.9% 🟩🟩🟩🟩⬜
계란                 49    51    96.1% 🟩🟩🟩🟩⬜
시금치                51    53    96.2% 🟩🟩🟩🟩⬜
설탕                 26    27    96.3% 🟩🟩🟩🟩⬜
소고기                53    55    96.4% 🟩🟩🟩🟩⬜
대파                 54    56    96.4% 🟩🟩🟩🟩⬜
키위                 30    31    96.8% 🟩🟩🟩🟩⬜
다시마                31    32    96.9% 🟩🟩🟩🟩⬜
참치                 31    32    96.9% 🟩🟩🟩🟩⬜
된장                 63    65    96.9% 🟩🟩🟩🟩⬜
머스타드               32    33    97.0% 🟩🟩🟩🟩⬜
상추                 67    69    97.1% 🟩🟩🟩🟩⬜
배                  34    35    97.1% 🟩🟩🟩🟩⬜
미역                 35    36    97.2% 🟩🟩🟩🟩⬜
당근                 36    37    97.3% 🟩🟩🟩🟩⬜
당면                 37    38    97.4% 🟩🟩🟩🟩⬜
간장                 38    39    97.4% 🟩🟩🟩🟩⬜
버섯                 78    80    97.5% 🟩🟩🟩🟩⬜
소금                 40    41    97.6% 🟩🟩🟩🟩⬜
후추                 47    48    97.9% 🟩🟩🟩🟩⬜
맥주                 49    50    98.0% 🟩🟩🟩🟩⬜
두부                 55    56    98.2% 🟩🟩🟩🟩⬜
닭고기                60    61    98.4% 🟩🟩🟩🟩⬜
브로콜리               61    62    98.4% 🟩🟩🟩🟩⬜
멸치                 68    69    98.6% 🟩🟩🟩🟩⬜
참기름                75    76    98.7% 🟩🟩🟩🟩⬜
가지                 33    33   100.0% 🟩🟩🟩🟩🟩
고구마                50    50   100.0% 🟩🟩🟩🟩🟩
고등어                36    36   100.0% 🟩🟩🟩🟩🟩
굴소스                58    58   100.0% 🟩🟩🟩🟩🟩
김치                 54    54   100.0% 🟩🟩🟩🟩🟩
깻잎                 39    39   100.0% 🟩🟩🟩🟩🟩
딸기                 36    36   100.0% 🟩🟩🟩🟩🟩
떡                  29    29   100.0% 🟩🟩🟩🟩🟩
라면사리               20    20   100.0% 🟩🟩🟩🟩🟩
무                  20    20   100.0% 🟩🟩🟩🟩🟩
바나나                39    39   100.0% 🟩🟩🟩🟩🟩
부추                 27    27   100.0% 🟩🟩🟩🟩🟩
블루베리               69    69   100.0% 🟩🟩🟩🟩🟩
새우                 59    59   100.0% 🟩🟩🟩🟩🟩
소주                 38    38   100.0% 🟩🟩🟩🟩🟩
식용유                46    46   100.0% 🟩🟩🟩🟩🟩
식초                 72    72   100.0% 🟩🟩🟩🟩🟩
애호박                35    35   100.0% 🟩🟩🟩🟩🟩
양파                 68    68   100.0% 🟩🟩🟩🟩🟩
오렌지                36    36   100.0% 🟩🟩🟩🟩🟩
옥수수                24    24   100.0% 🟩🟩🟩🟩🟩
우유                 41    41   100.0% 🟩🟩🟩🟩🟩
케첩                 23    23   100.0% 🟩🟩🟩🟩🟩
토마토                25    25   100.0% 🟩🟩🟩🟩🟩
=============================================

🏆 최종 최고 성능 → Acc: 96.60%  Loss: 0.8829
⏱️  소요 시간: 87분 32초
