epoch,train_loss,train_acc,val_loss,val_acc,lr_head,lr_backbone
1,1.7483,0.7183,1.1084,0.8977,0.0001,
2,1.0661,0.9129,1.0013,0.9253,0.0001,
3,0.956,0.9437,0.9571,0.9396,0.0001,
4,0.8998,0.9582,0.9659,0.9336,0.0001,
5,0.8608,0.9698,0.9319,0.9457,0.0001,
6,0.8333,0.9752,0.9605,0.9406,0.0001,1e-05
7,0.8331,0.9775,0.9384,0.9434,0.0001,1e-05
8,0.816,0.9814,0.9095,0.9533,0.0001,1e-05
9,0.8151,0.9811,0.9551,0.9403,0.0001,1e-05
10,0.8068,0.9833,0.9402,0.9473,0.0001,1e-05
11,0.7999,0.9851,0.9393,0.9469,0.0001,1e-05
12,0.799,0.9852,0.9302,0.9488,0.0001,1e-05
13,0.773,0.9916,0.8864,0.9596,5e-05,5e-06
14,0.7624,0.9955,0.9066,0.9568,5e-05,5e-06
15,0.7652,0.9936,0.9097,0.9552,5e-05,5e-06
16,0.7572,0.997,0.9012,0.9574,5e-05,5e-06
17,0.7618,0.9952,0.8972,0.9593,5e-05,5e-06
18,0.7543,0.9975,0.9018,0.9587,2.5e-05,2.5e-06
19,0.7535,0.9974,0.882,0.9619,2.5e-05,2.5e-06
20,0.7529,0.9975,0.8911,0.9596,2.5e-05,2.5e-06
21,0.7502,0.9984,0.8839,0.9628,2.5e-05,2.5e-06
22,0.7506,0.9978,0.8931,0.9603,2.5e-05,2.5e-06
23,0.7506,0.9984,0.8841,0.9638,2.5e-05,2.5e-06
24,0.7481,0.9986,0.8811,0.9641,1.25e-05,1.25e-06
25,0.7491,0.9981,0.8842,0.9638,1.25e-05,1.25e-06
26,0.7484,0.9984,0.8856,0.9631,1.25e-05,1.25e-06
27,0.7468,0.9991,0.893,0.9625,1.25e-05,1.25e-06
28,0.7473,0.9988,0.8905,0.9625,1.25e-05,1.25e-06
29,0.747,0.9986,0.8829,0.966,6.25e-06,6.25e-07
30,0.7462,0.999,0.8869,0.9654,6.25e-06,6.25e-07
31,0.747,0.9986,0.886,0.9638,6.25e-06,6.25e-07
32,0.7461,0.9991,0.8839,0.9647,6.25e-06,6.25e-07
33,0.746,0.9989,0.8813,0.9635,3.125e-06,3.125e-07
34,0.745,0.9994,0.8848,0.9641,3.125e-06,3.125e-07
35,0.7449,0.9995,0.8862,0.965,3.125e-06,3.125e-07
36,0.7455,0.9992,0.8891,0.9641,3.125e-06,3.125e-07
37,0.7452,0.9993,0.885,0.9635,1.5625e-06,1.5625e-07
