=============================================
클래스                정답    전체      정확도
---------------------------------------------
치즈                 25    41    61.0% 🟩🟩🟩⬜⬜
베이컨                18    26    69.2% 🟩🟩🟩⬜⬜
버터                 39    46    84.8% 🟩🟩🟩🟩⬜
설탕                 24    27    88.9% 🟩🟩🟩🟩⬜
무                  18    20    90.0% 🟩🟩🟩🟩⬜
소금                 37    41    90.2% 🟩🟩🟩🟩⬜
소고기                50    55    90.9% 🟩🟩🟩🟩⬜
파프리카               30    33    90.9% 🟩🟩🟩🟩⬜
호박                 40    44    90.9% 🟩🟩🟩🟩⬜
고추                 51    56    91.1% 🟩🟩🟩🟩⬜
햄                  51    56    91.1% 🟩🟩🟩🟩⬜
감자                 64    70    91.4% 🟩🟩🟩🟩⬜
미역                 33    36    91.7% 🟩🟩🟩🟩⬜
콩나물                44    48    91.7% 🟩🟩🟩🟩⬜
된장                 60    65    92.3% 🟩🟩🟩🟩⬜
마늘                 50    54    92.6% 🟩🟩🟩🟩⬜
식용유                43    46    93.5% 🟩🟩🟩🟩⬜
고추장                45    48    93.8% 🟩🟩🟩🟩⬜
시금치                50    53    94.3% 🟩🟩🟩🟩⬜
대파                 53    56    94.6% 🟩🟩🟩🟩⬜
간장                 37    39    94.9% 🟩🟩🟩🟩⬜
고춧가루               57    60    95.0% 🟩🟩🟩🟩⬜
버섯                 76    80    95.0% 🟩🟩🟩🟩⬜
닭고기                58    61    95.1% 🟩🟩🟩🟩⬜
쌈장                 20    21    95.2% 🟩🟩🟩🟩⬜
사과                 41    43    95.3% 🟩🟩🟩🟩⬜
블루베리               66    69    95.7% 🟩🟩🟩🟩⬜
후추                 46    48    95.8% 🟩🟩🟩🟩⬜
돼지고기               49    51    96.1% 🟩🟩🟩🟩⬜
떡                  28    29    96.6% 🟩🟩🟩🟩⬜
양배추                57    59    96.6% 🟩🟩🟩🟩⬜
오징어                29    30    96.7% 🟩🟩🟩🟩⬜
키위                 30    31    96.8% 🟩🟩🟩🟩⬜
참치                 31    32    96.9% 🟩🟩🟩🟩⬜
머스타드               32    33    97.0% 🟩🟩🟩🟩⬜
멸치                 67    69    97.1% 🟩🟩🟩🟩⬜
배                  34    35    97.1% 🟩🟩🟩🟩⬜
애호박                34    35    97.1% 🟩🟩🟩🟩⬜
식초                 70    72    97.2% 🟩🟩🟩🟩⬜
당근                 36    37    97.3% 🟩🟩🟩🟩⬜
당면                 37    38    97.4% 🟩🟩🟩🟩⬜
소주                 37    38    97.4% 🟩🟩🟩🟩⬜
참기름                74    76    97.4% 🟩🟩🟩🟩⬜
참깨                 45    46    97.8% 🟩🟩🟩🟩⬜
오이                 48    49    98.0% 🟩🟩🟩🟩⬜
고구마                49    50    98.0% 🟩🟩🟩🟩⬜
맥주                 49    50    98.0% 🟩🟩🟩🟩⬜
계란                 50    51    98.0% 🟩🟩🟩🟩⬜
두부                 55    56    98.2% 🟩🟩🟩🟩⬜
브로콜리               61    62    98.4% 🟩🟩🟩🟩⬜
상추                 68    69    98.6% 🟩🟩🟩🟩⬜
가지                 33    33   100.0% 🟩🟩🟩🟩🟩
고등어                36    36   100.0% 🟩🟩🟩🟩🟩
굴소스                58    58   100.0% 🟩🟩🟩🟩🟩
김치                 54    54   100.0% 🟩🟩🟩🟩🟩
깻잎                 39    39   100.0% 🟩🟩🟩🟩🟩
다시마                32    32   100.0% 🟩🟩🟩🟩🟩
딸기                 36    36   100.0% 🟩🟩🟩🟩🟩
라면사리               20    20   100.0% 🟩🟩🟩🟩🟩
마요네즈               31    31   100.0% 🟩🟩🟩🟩🟩
바나나                39    39   100.0% 🟩🟩🟩🟩🟩
부추                 27    27   100.0% 🟩🟩🟩🟩🟩
새우                 59    59   100.0% 🟩🟩🟩🟩🟩
양파                 68    68   100.0% 🟩🟩🟩🟩🟩
오렌지                36    36   100.0% 🟩🟩🟩🟩🟩
옥수수                24    24   100.0% 🟩🟩🟩🟩🟩
우유                 41    41   100.0% 🟩🟩🟩🟩🟩
케첩                 23    23   100.0% 🟩🟩🟩🟩🟩
콜라                 26    26   100.0% 🟩🟩🟩🟩🟩
토마토                25    25   100.0% 🟩🟩🟩🟩🟩
=============================================
